序号,发票代码,发票号码,数电发票号码,销方识别号,销方名称,购方识别号,购买方名称,开票日期,税收分类编码,特定业务类型,货物或应税劳务名称,规格型号,单位,数量,单价,金额,税率,税额,价税合计,发票来源,发票票种,发票状态,是否正数发票,发票风险等级,开票人,备注,币种,外币金额,汇率,方向,购方税号,销方税号,发票类型,_source
613,,,25958479112061109567,91440300192211290H,深圳航空有限责任公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-30 14:21:11,3010301010100000000,航空运输电子客票行程单,*运输服务*燃油附加费,,,,,36.7,9%,3.3,40.0,电子发票服务平台,数电发票（航空运输电子客票行程单）,正常,是,正常,深圳航空有限责任公司,,CNY,0.0,1.0,in,,,,
614,,,25122000000099456338,91120116MA07C3XJ23,郑州哈拜网络科技有限公司天津分公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-30 14:19:28,3010101020203000000,旅客运输服务发票,*运输服务*客运服务,,,,,28.8,3%,0.86,29.66,电子发票服务平台,数电发票（普通发票）,正常,是,正常,李佳,,CNY,0.0,1.0,in,,,,
615,,,25957000000197209287,91440300MA5H2PRJ8B,湖南喜行网络科技有限公司深圳分公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-30 14:16:45,3010101020203000000,旅客运输服务发票,*运输服务*客运服务费,,,1,85.4368932038835,85.44,3%,2.56,88.0,电子发票服务平台,数电发票（普通发票）,正常,是,正常,梁毕,,CNY,0.0,1.0,in,,,,
616,,,25317000003363584110,91310000662495655K,中国人寿财产保险股份有限公司上海市分公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-30 14:16:14,3060302990000000000,,*保险服务*航空旅客全面型保险（航意航延组合）,,,1,37.74,37.74,6%,2.26,40.0,电子发票服务平台,数电发票（普通发票）,正常,是,正常,马锦韬,保/批单号:6623052025310067039562。,CNY,0.0,1.0,in,,,,
617,,,25317000003397919162,91310105134638405A,上海华程西南国际旅行社有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-30 14:15:22,3040802990000000000,,*经纪代理服务*代订附加产品,,,1,45.2830188679245,45.28,6%,2.72,48.0,电子发票服务平台,数电发票（普通发票）,正常,是,正常,楼宗恺,,CNY,0.0,1.0,in,,,,
618,,,25327000001748711534,91320594MA1MFD7F31,苏州市吉利优行电子科技有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-30 12:28:41,3010101020203000000,旅客运输服务发票,*运输服务*客运服务费,,次,1,32.669903,32.67,3%,0.98,33.65,电子发票服务平台,数电发票（普通发票）,正常,是,正常,孔炜,,CNY,0.0,1.0,in,,,,
619,,,25957000000197611783,91440300MAE85C4A71,深圳滴滴畅行科技有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-30 12:28:36,3010101020102000000,旅客运输服务发票,*运输服务*客运服务费,无,次,1,290.32,290.32,3%,8.71,299.03,电子发票服务平台,数电发票（普通发票）,正常,是,正常,候娇,,CNY,0.0,1.0,in,,,,
620,,,25957000000197611783,91440300MAE85C4A71,深圳滴滴畅行科技有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-30 12:28:36,3010101020102000000,旅客运输服务发票,*运输服务*客运服务费,,,,,-50.19,3%,-1.51,-51.7,电子发票服务平台,数电发票（普通发票）,正常,是,正常,候娇,,CNY,0.0,1.0,in,,,,
621,,,25447000001792842668,91440101MA5ARHGQ3P,广州祺宸科技有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-30 12:28:36,3019901000000000000,旅客运输服务发票,*运输服务*客运服务费,,,1,62.24,62.24,3%,1.87,64.11,电子发票服务平台,数电发票（普通发票）,正常,是,正常,黄泽辉,,CNY,0.0,1.0,in,,,,
622,,,25127000000548415486,911201163409833307,滴滴出行科技有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-30 11:09:02,3010101020102000000,旅客运输服务发票,*运输服务*客运服务费,无,次,1,175.63,175.63,3%,5.27,180.9,电子发票服务平台,数电发票（普通发票）,正常,是,正常,赵笑林,,CNY,0.0,1.0,in,,,,
623,,,25957000000196940246,91440300350012175D,成都携程旅行社有限公司深圳分公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-30 11:04:13,3040802990000000000,,*经纪代理服务*代订机票产品,,,1,820.7547169811321,820.75,6%,49.25,870.0,电子发票服务平台,数电发票（普通发票）,正常,是,正常,楼宗恺,"携程订单:1128144502118066,2025/12/15 深圳-扬州 ZH8893 吴祖发 经济舱",CNY,0.0,1.0,in,,,,
624,,,25317000003393270208,91310105134638405A,上海华程西南国际旅行社有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-30 11:04:02,3040802990000000000,,*经纪代理服务*代订机票产品,,,1,1023.584905660377,1023.58,6%,61.42,1085.0,电子发票服务平台,数电发票（普通发票）,正常,是,正常,楼宗恺,"携程订单:1128144614865970,2025/12/20 扬州-深圳 ZH8892 吴祖发 经济舱",CNY,0.0,1.0,in,,,,
625,,,25448784110006667325,91440000100017600N,中国南方航空股份有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-30 10:08:14,3010301010100000000,航空运输电子客票行程单,*运输服务*票价,,,,,339.45,9%,30.55,370.0,电子发票服务平台,数电发票（航空运输电子客票行程单）,正常,是,正常,南方航空,验真网址：WWW.CSAIR.COM 请旅客乘机前认真阅读《旅客须知》及承运人的旅客运输总条件内容。,CNY,0.0,1.0,in,,,,
626,,,25448784110006667325,91440000100017600N,中国南方航空股份有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-30 10:08:14,3010301010100000000,航空运输电子客票行程单,*运输服务*燃油附加费,,,,,36.7,9%,3.3,40.0,电子发票服务平台,数电发票（航空运输电子客票行程单）,正常,是,正常,南方航空,验真网址：WWW.CSAIR.COM 请旅客乘机前认真阅读《旅客须知》及承运人的旅客运输总条件内容。,CNY,0.0,1.0,in,,,,
627,,,25448784110006667325,91440000100017600N,中国南方航空股份有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-30 10:08:14,6130000000000000000,航空运输电子客票行程单,*代收民航发展基金*民航发展基金,,,,,50.0,不征税,0.0,50.0,电子发票服务平台,数电发票（航空运输电子客票行程单）,正常,是,正常,南方航空,验真网址：WWW.CSAIR.COM 请旅客乘机前认真阅读《旅客须知》及承运人的旅客运输总条件内容。,CNY,0.0,1.0,in,,,,
630,,,25322000000631912095,91320506MA1X180D2R,苏州小鹏汽车销售服务有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-29 11:19:05,1090309000000000000,,*机动车*纯电动轿车,小鹏牌NHQ7000BEVLC,,,,110442.48,13%,14357.52,124800.0,电子发票服务平台,数电发票（机动车销售统一发票）,正常,是,正常,熊星星,一车一票 一车一票,CNY,0.0,1.0,in,,,,
631,,,25952000000284074127,91440300279524003X,深圳市布吉银龙加油站有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-28 16:31:07,1070101010100000000,成品油发票,*汽油*92#国Ⅵ汽油,92#（VIB）,升,14.5799,5.9823008849558,87.22,13%,11.34,98.56,电子发票服务平台,数电发票（普通发票）,正常,是,正常,杨英,,CNY,0.0,1.0,in,,,,
632,,,25952000000284083671,91440300279524003X,深圳市布吉银龙加油站有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-28 16:30:19,1070101010100000000,成品油发票,*汽油*92#国Ⅵ汽油,92#（VIB）,升,44.5801,5.6902654867257,253.67,13%,32.98,286.65,电子发票服务平台,数电发票（普通发票）,正常,是,正常,杨英,,CNY,0.0,1.0,in,,,,
633,,,25952000000284035029,91440300279524003X,深圳市布吉银龙加油站有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-28 16:29:38,1070101010100000000,成品油发票,*汽油*92#国Ⅵ汽油,92#（VIB）,升,29.1601,5.8053097345133,169.28,13%,22.01,191.29,电子发票服务平台,数电发票（普通发票）,正常,是,正常,杨英,,CNY,0.0,1.0,in,,,,
634,,,25322000000629792310,92321084MA7MX62C7W,高邮市惠滋味餐饮店,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-27 18:29:06,3070401000000000000,,*餐饮服务*餐费,,,,,233.66,1%,2.34,236.0,电子发票服务平台,数电发票（普通发票）,正常,是,正常,朱文丽,,CNY,0.0,1.0,in,,,,
635,,,25352000000155941432,91350302MADPJ45H9R,莆田市城厢区誉观贸易有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 17:58:37,1090522010000000000,,*家用音视频设备*电视机,,台,1,2236.63366336634,2236.63,1%,22.37,2259.0,电子发票服务平台,数电发票（普通发票）,正常,是,正常,蔡勇,,CNY,0.0,1.0,in,,,,
636,,,25327000001719118432,913210007206024647,中国石化销售股份有限公司江苏扬州石油分公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 16:32:40,1070101010100000000,成品油发票,*汽油*95号车用汽油(ⅥB),95号,升,57.75949367,6.29195266,363.42,13%,47.25,410.67,电子发票服务平台,数电发票（普通发票）,正常,是,正常,邵景麟,,CNY,0.0,1.0,in,,,,
637,,,25952000000282429876,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:02:12,1070601990000000000,,*塑料制品*PC片,尺寸：8.8*6.4*0.2mm,个,3000,0.0176991150442,53.1,13%,6.9,60.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
638,,,25952000000282429876,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:02:12,1070601990000000000,,*塑料制品*Type-C泡棉1,尺寸：16*4*0.58mm,个,7000,0.0176991150442,123.89,13%,16.11,140.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
639,,,25952000000282429876,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:02:12,1070601990000000000,,*塑料制品*背胶,尺寸：60*10*0.05mm,个,17400,0.0247787610619,431.15,13%,56.05,487.2,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
640,,,25952000000282429876,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:02:12,1070601990000000000,,*塑料制品*背胶,尺寸：48.7*48.7mm,个,3000,0.2035398230088,610.62,13%,79.38,690.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
641,,,25952000000282429876,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:02:12,1070602990000000000,,*塑料制品*导电布,尺寸：16.85*13*0.1mm,个,3000,0.0212389380531,63.72,13%,8.28,72.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
642,,,25952000000282429876,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:02:12,1070602990000000000,,*塑料制品*导电布,尺寸：30*8*0.1mm,个,3000,0.0221238938053,66.37,13%,8.63,75.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
643,,,25952000000282429876,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:02:12,1070602990000000000,,*塑料制品*导电布,尺寸：22*7.4*0.05mm,个,14000,0.0283185840708,396.46,13%,51.54,448.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
644,,,25952000000282429876,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:02:12,1070602990000000000,,*塑料制品*导电布,尺寸：16*16*0.1mm,个,3000,0.0221238938053,66.37,13%,8.63,75.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
645,,,25952000000282429876,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:02:12,1070602990000000000,,*塑料制品*导电布,尺寸：49.2*28.5*0.07mm,个,16300,0.1061946902655,1730.97,13%,225.03,1956.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
646,,,25952000000282429876,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:02:12,1070602990000000000,,*塑料制品*导电布,尺寸：25*25*0.1mm,个,7000,0.0336283185841,235.4,13%,30.6,266.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
647,,,25952000000282429876,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:02:12,1070602990000000000,,*塑料制品*导电布,尺寸：34.13*28.32*0.1mm,个,3000,0.0486725663717,146.02,13%,18.98,165.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
648,,,25952000000282429876,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:02:12,1070601990000000000,,*塑料制品*导电海绵,尺寸：4*2.5*2.0mm,个,15000,0.0176991150442,265.49,13%,34.51,300.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
649,,,25952000000282429876,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:02:12,1070601990000000000,,*塑料制品*导电海绵,尺寸：10*3*1.0mm,个,34400,0.0176991150442,608.85,13%,79.15,688.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
650,,,25952000000282429876,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:02:12,1070601990000000000,,*塑料制品*导电泡棉,尺寸：9.9*9.9*1.5mm,个,10000,0.1061946902655,1061.95,13%,138.05,1200.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
651,,,25952000000282429876,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:02:12,1070601990000000000,,*塑料制品*耳机座防尘泡棉,尺寸：11.9*9.2*2.05mm,个,7000,0.0309734513274,216.81,13%,28.19,245.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
652,,,25952000000282429876,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:02:12,1070504990000000000,,*橡胶制品*钢网,尺寸25.8*1.35*0.15mm,个,3000,0.2212389380531,663.72,13%,86.28,750.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
653,,,25952000000282429876,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:02:12,1070504990000000000,,*橡胶制品*绝缘胶,尺寸：13.5*8.9*0.06mm,个,7000,0.0203539823009,142.48,13%,18.52,161.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
654,,,25952000000282429876,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:02:12,1070504990000000000,,*橡胶制品*绝缘胶,尺寸：19*11.7*0.06mm,个,3000,0.0221238938053,66.37,13%,8.63,75.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
655,,,25952000000282429876,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:02:12,1070601990000000000,,*塑料制品*扩散膜,尺寸：6.4*5.6*0.15mm,个,3000,0.0221238938053,66.37,13%,8.63,75.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
656,,,25952000000282429876,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:02:12,1070504020000000000,,*橡胶制品*扩散片,尺寸：Φ6.8*0.15mm,个,7200,0.0230088495575,165.66,13%,21.54,187.2,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
657,,,25952000000282429876,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:02:12,1070601990000000000,,*塑料制品*泡棉,尺寸：11.84*6.95*2.05mm,个,7000,0.0247787610619,173.45,13%,22.55,196.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
658,,,25952000000282429876,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:02:12,1070601990000000000,,*塑料制品*泡棉,尺寸：15*5.2*0.58mm,个,6000,0.0176991150442,106.19,13%,13.81,120.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
659,,,25952000000282429876,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:02:12,1070601990000000000,,*塑料制品*泡棉,尺寸：φ6.5*φ5*0.58mm,个,3000,0.0176991150442,53.1,13%,6.9,60.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
660,,,25952000000282429876,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:02:12,1070602990000000000,,*塑料制品*双面胶,尺寸20*20*0.1mm,个,210,0.0884955752212,18.58,13%,2.42,21.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
661,,,25952000000282429876,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:02:12,1070504990000000000,,*橡胶制品*听筒网,尺寸：29*1.5*0.15mm,个,7000,0.2477876106195,1734.51,13%,225.49,1960.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
662,,,25952000000282448650,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:00:47,1070601990000000000,,*塑料制品*PC片,尺寸：8.8*6.4*0.2mm,个,3100,0.0176991150442,54.87,13%,7.13,62.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
663,,,25952000000282448650,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:00:47,1070601990000000000,,*塑料制品*Type-C泡棉1,尺寸：16*4*0.58mm,个,6600,0.0176991150442,116.81,13%,15.19,132.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
664,,,25952000000282448650,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:00:47,1070601990000000000,,*塑料制品*背胶,尺寸：60*10*0.05mm,个,19110,0.0247787610619,473.52,13%,61.56,535.08,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
665,,,25952000000282448650,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:00:47,1070601990000000000,,*塑料制品*背胶,尺寸：48.7*48.7mm,个,3400,0.2035398230088,692.04,13%,89.96,782.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
666,,,25952000000282448650,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:00:47,1070602990000000000,,*塑料制品*导电布,尺寸：16.85*13*0.1mm,个,3300,0.0212389380531,70.09,13%,9.11,79.2,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
667,,,25952000000282448650,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:00:47,1070602990000000000,,*塑料制品*导电布,尺寸：30*8*0.1mm,个,3300,0.0221238938053,73.01,13%,9.49,82.5,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
668,,,25952000000282448650,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:00:47,1070602990000000000,,*塑料制品*导电布,尺寸：22*7.4*0.05mm,个,12000,0.0283185840708,339.82,13%,44.18,384.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
669,,,25952000000282448650,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:00:47,1070602990000000000,,*塑料制品*导电布,尺寸：16*16*0.1mm,个,3300,0.0221238938053,73.01,13%,9.49,82.5,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
670,,,25952000000282448650,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:00:47,1070602990000000000,,*塑料制品*导电布,尺寸：25*25*0.1mm,个,6100,0.0336283185841,205.13,13%,26.67,231.8,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
671,,,25952000000282448650,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:00:47,1070602990000000000,,*塑料制品*导电布,尺寸：34.13*28.32*0.1mm,个,3200,0.0486725663717,155.75,13%,20.25,176.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
672,,,25952000000282448650,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:00:47,1070601990000000000,,*塑料制品*导电海绵,尺寸：4*2.5*2.0mm,个,15600,0.0176991150442,276.11,13%,35.89,312.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
673,,,25952000000282448650,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:00:47,1070601990000000000,,*塑料制品*导电海绵,尺寸：10*3*1.0mm,个,34200,0.0176991150442,605.31,13%,78.69,684.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
674,,,25952000000282448650,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:00:47,1070601990000000000,,*塑料制品*导电泡棉,尺寸：9.9*9.9*1.5mm,个,9400,0.1061946902655,998.23,13%,129.77,1128.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
675,,,25952000000282448650,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:00:47,1070601990000000000,,*塑料制品*导光膜,φ8*0.1mm,个,250,0.0247787610619,6.19,13%,0.81,7.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
676,,,25952000000282448650,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:00:47,1070601990000000000,,*塑料制品*耳机座防尘泡棉,尺寸：11.9*9.2*2.05mm,个,6500,0.0309734513274,201.33,13%,26.17,227.5,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
677,,,25952000000282448650,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:00:47,1070504990000000000,,*橡胶制品*钢网,尺寸25.8*1.35*0.15mm,个,3300,0.2212389380531,730.09,13%,94.91,825.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
678,,,25952000000282448650,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:00:47,1070213020000000000,,*化学合成材料*硅胶垫,10*10*3mm,个,410,0.0619469026549,25.4,13%,3.3,28.7,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
679,,,25952000000282448650,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:00:47,1070504990000000000,,*橡胶制品*绝缘胶,尺寸：13.5*8.9*0.06mm,个,6000,0.0203539823009,122.12,13%,15.88,138.0,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
680,,,25952000000282448650,91440300MADAXX0E4Q,深圳市丙旺包装制品有限公司,91321084MAEFNKCY09,江苏和钛智控科技有限公司,2025-12-26 15:00:47,1070504990000000000,,*橡胶制品*绝缘胶,尺寸：19*11.7*0.06mm,个,3300,0.0221238938053,73.01,13%,9.49,82.5,电子发票服务平台,数电发票（增值税专用发票）,正常,是,正常,蒋兰奇,,CNY,0.0,1.0,in,,,,
