序号,发票代码,发票号码,数电发票号码,销方识别号,销方名称,购方识别号,购买方名称,开票日期,税收分类编码,特定业务类型,货物或应税劳务名称,规格型号,单位,数量,单价,金额,税率,税额,价税合计,发票来源,发票票种,发票状态,是否正数发票,发票风险等级,开票人,备注,币种,外币金额,汇率,方向,购方税号,销方税号,发票类型,_source
30,,,26322000001134516766,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-02-09 11:56:42,1090504040000000000,,*移动通信设备*喇叭,,个,-100,2.9764,-297.64,0%,0.0,-297.64,电子发票服务平台,数电发票（普通发票）,正常,否,正常,黄彩霞,被红冲蓝字数电发票号码：25322000000530863863 红字发票信息确认单编号：32108426021009627373,CNY,0.0,1.0,out,,,,
31,,,26322000001134516766,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-02-09 11:56:42,1090504040000000000,,*移动通信设备*听筒,,个,-100,1.4173,-141.73,0%,0.0,-141.73,电子发票服务平台,数电发票（普通发票）,正常,否,正常,黄彩霞,被红冲蓝字数电发票号码：25322000000530863863 红字发票信息确认单编号：32108426021009627373,CNY,0.0,1.0,out,,,,
32,,,26322000001134516766,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-02-09 11:56:42,1090504040000000000,,*移动通信设备*侧键FPC,,个,-100,0.7086,-70.86,0%,0.0,-70.86,电子发票服务平台,数电发票（普通发票）,正常,否,正常,黄彩霞,被红冲蓝字数电发票号码：25322000000530863863 红字发票信息确认单编号：32108426021009627373,CNY,0.0,1.0,out,,,,
33,,,26322000001134516766,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-02-09 11:56:42,1090504040000000000,,*移动通信设备*闪光灯FPC,,个,-50,0.6378,-31.89,0%,0.0,-31.89,电子发票服务平台,数电发票（普通发票）,正常,否,正常,黄彩霞,被红冲蓝字数电发票号码：25322000000530863863 红字发票信息确认单编号：32108426021009627373,CNY,0.0,1.0,out,,,,
34,,,26322000001134516766,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-02-09 11:56:42,1090504040000000000,,*移动通信设备*同轴线,,根,-50,0.6378,-31.89,0%,0.0,-31.89,电子发票服务平台,数电发票（普通发票）,正常,否,正常,黄彩霞,被红冲蓝字数电发票号码：25322000000530863863 红字发票信息确认单编号：32108426021009627373,CNY,0.0,1.0,out,,,,
35,,,26322000000821079361,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-01-30 10:39:21,1090505010000000000,,*移动通信设备*智能手机,Wildfire E6 Star,台,5260,214.3924576,1127704.33,0%,0.0,1127704.33,电子发票服务平台,数电发票（普通发票）,正常,是,正常,黄彩霞,备注信息：出口合同号：HTZG202508-004(08)、 贸易方式：一般贸易、成交方式：FOB 、币别：美元 、外币出口销售额： 160440.52、汇率：7.0288 出口报关单号：534520260000122213,USD,160440.52,7.0288,out,,,,
36,,,26322000000819729181,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-01-30 10:31:20,1090505010000000000,,*移动通信设备*智能手机,Wildfire E5 Elite,台,510,520.1312,265266.91,0%,0.0,265266.91,电子发票服务平台,数电发票（普通发票）,正常,是,正常,黄彩霞,备注信息：出口合同号：HTZG202509-007(1)、 贸易方式：一般贸易、成交方式：FOB 、币别：美元 、外币出口销售额： 164311.8、汇率：7.0288 出口报关单号：534520260000091980,USD,164311.8,7.0288,out,,,,
37,,,26322000000819729181,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-01-30 10:31:20,1090505010000000000,,*移动通信设备*智能手机,Wildfire E7 Elite,台,694,609.396959654179,422921.49,0%,0.0,422921.49,电子发票服务平台,数电发票（普通发票）,正常,是,正常,黄彩霞,备注信息：出口合同号：HTZG202509-007(1)、 贸易方式：一般贸易、成交方式：FOB 、币别：美元 、外币出口销售额： 164311.8、汇率：7.0288 出口报关单号：534520260000091980,USD,164311.8,7.0288,out,,,,
38,,,26322000000819729181,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-01-30 10:31:20,1090505010000000000,,*移动通信设备*智能手机,Wildfire E7 Life,台,510,344.411196078431,175649.71,0%,0.0,175649.71,电子发票服务平台,数电发票（普通发票）,正常,是,正常,黄彩霞,备注信息：出口合同号：HTZG202509-007(1)、 贸易方式：一般贸易、成交方式：FOB 、币别：美元 、外币出口销售额： 164311.8、汇率：7.0288 出口报关单号：534520260000091980,USD,164311.8,7.0288,out,,,,
39,,,26322000000819729181,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-01-30 10:31:20,1090505010000000000,,*移动通信设备*智能手机,Wildfire E6 Elite,台,1020,285.369284313725,291076.67,0%,0.0,291076.67,电子发票服务平台,数电发票（普通发票）,正常,是,正常,黄彩霞,备注信息：出口合同号：HTZG202509-007(1)、 贸易方式：一般贸易、成交方式：FOB 、币别：美元 、外币出口销售额： 164311.8、汇率：7.0288 出口报关单号：534520260000091980,USD,164311.8,7.0288,out,,,,
40,,,26322000000819990466,91321084MAEFNKCY09,江苏和钛智控科技有限公司,,"HONGTAI INTELLIGENCE INTERNATIONAL CO.,LIMITED",2026-01-30 10:22:03,1090505010000000000,,*移动通信设备*智能手机,Wildfire E5 Elite,台,1020,534.1888,544872.58,0%,0.0,544872.58,电子发票服务平台,数电发票（普通发票）,正常,是,正常,黄彩霞,备注信息：出口合同号：HTZG202508-006(2)、 贸易方式：一般贸易、成交方式：FOB 、币别：美元 、外币出口销售额： 77520、汇率：7.0288 出口报关单号：534520260000091985,USD,77520.0,7.0288,out,,,,
